case_t,district,case_f,landa,scnt,sbuild,buitype,pbuild,farea,build_r,build_l,build_b,build_p,rule,tprice,upnote,parktype,parea,elevator,metro_in500,metro_in1000,metro_in1500
買賣,大安區,房地(土地+建物)+車位,22.89,土地:2建物:1車位:1,"四層,陽臺",華廈(10層含以下有電梯),住家用,85.24,5.0,3.0,3.0,有,無,7600,是,坡道平面1,0.0,有,4,10,16
預售屋,萬華區,房地(土地+建物)+車位,4.23,土地:34建物:1車位:1,八層,住宅大樓(11層含以上有電梯),見其他登記事項,43.84,2.0,2.0,2.0,有,,2876,否,坡道平面1,13.66,,0,1,1
預售屋,中正區,房地(土地+建物),2.44,土地:8建物:1車位:,六層,住宅大樓(11層含以上有電梯),住家用,24.54,2.0,1.0,1.0,有,,3485,否,,0.0,,3,7,14
買賣,內湖區,房地(土地+建物),7.37,土地:1建物:1車位:,四層,公寓(5樓含以下無電梯),住家用,26.59,3.0,2.0,1.0,有,無,1450,否,,0.0,無,0,2,4
買賣,南港區,房地(土地+建物)+車位,7.28,土地:1建物:1車位:3,七層,大樓(11層含以上有電梯),住家用,54.04,3.0,2.0,2.0,有,有,4288,否,坡道機械3,15.0,有,3,6,8
買賣,信義區,房地(土地+建物),3.43,土地:1建物:1車位:,四層,公寓(5樓含以下無電梯),住家用,13.21,4.0,2.0,2.0,有,無,904,否,,0.0,無,1,2,4
買賣,中山區,房地(土地+建物),3.06,土地:2建物:1車位:,六層,大樓(11層含以上有電梯),商業用,23.03,3.0,2.0,3.0,有,有,2078,否,,0.0,有,4,8,16
買賣,中山區,房地(土地+建物),8.08,土地:6建物:1車位:,四層,大樓(11層含以上有電梯),,70.67,,,,無,有,4380,否,,0.0,有,3,10,15
買賣,士林區,房地(土地+建物),11.95,土地:1建物:1車位:,四層,公寓(5樓含以下無電梯),住家用,29.13,3.0,1.0,1.0,有,無,1800,否,,0.0,無,0,2,3
買賣,內湖區,房地(土地+建物)+車位,8.68,土地:1建物:1車位:1,三層,華廈(10層含以下有電梯),住家用,58.23,3.0,2.0,2.0,有,有,4380,否,坡道平面1,13.31,有,0,0,1
買賣,中山區,房地(土地+建物),1.1,土地:1建物:1車位:,十二層,大樓(11層含以上有電梯),住家用,12.25,,,,無,有,1108,否,,0.0,有,0,6,18
買賣,大安區,房地(土地+建物),0.42,土地:1建物:1車位:,八層,華廈(10層含以下有電梯),住家用,2.93,3.0,2.0,1.0,有,有,260,否,,0.0,有,0,6,12
買賣,內湖區,房地(土地+建物),6.62,土地:1建物:1車位:,二層,華廈(10層含以下有電梯),見其他登記事項,25.43,2.0,1.0,2.0,有,無,2070,否,,0.0,有,0,2,2
買賣,大同區,房地(土地+建物),2.11,土地:6建物:1車位:,十層,大樓(11層含以上有電梯),住家用,15.96,3.0,1.0,1.0,有,有,1533,否,,0.0,有,0,9,11
